jogador,nome_jogador,total
Ethan,Ethan Arnold,248666.67
jawgemo,Alexander Mor,248666.67
Boostio,Kelden Pupello,248666.67
C0M,Corbin Lee,248666.67
Demon1,Max Mazanov,246666.67
Chronicle,Timofey Khromov,129000.0
Derke,Nikita Sirmitev,129000.0
Boaster,Jake Howlett,129000.0
Alfajer,Emir Beder,129000.0
Leo,Leo Jannesson,129000.0
d4v41,Khalish Rusyaidee,120285.71
f0rsakeN,Jason Susanto,120285.71
mindfreak,Aaron Leonhart,120285.71
Jinggg,"Wang, Jing Jie",120285.71
something,Ilya Petrov,94893.71
saadhak,Matias Delipetro,89000.0
aspas,Erick Santos,89000.0
Less,Felipe Basso,89000.0
cauanzin,Cauan Pereira,89000.0
tuyz,Arthur Vieira,89000.0
stax,"Kim, Gu-taek",42833.33
Rb,"Goo, Sang-min",42833.33
Zest,"Kim, Gi-Seok",42833.33
BuZz,"Yu, Byung-chul",42833.33
MaKo,"Kim, Myeong-kwan",42833.33
CigaretteS,Patiphan Posri,39285.71
FNS,Pujan Mehta,39000.0
Victor,Victor Wong,39000.0
crashies,Austin Roberts,39000.0
ardiis,Ardis Svarenieks,39000.0
s0m,Sam Oh,39000.0
nAts,Ayaz Akhmetshin,35000.0
Jamppi,Elias Olkkonen,35000.0
Redgar,Igor Vlasov,35000.0
soulcas,Dom Sulcas,35000.0
Sayf,Saif Jibraeel,35000.0
nobody,"Wang, Senxu",28000.0
CHICHOO,"Wan, Shunzhi",28000.0
Haodong,"Guo, Haodong",28000.0
ZmjjKK,"Zheng, Yong Kang",28000.0
Smoggy,"Zhang, Zhao",28000.0
MOJJ,Bugra Kiraz,25000.0
qRaxs,Doğukan Balaban,25000.0
qw1,Konur Şahin,25000.0
MrFaliN,Furkan Yeğen,25000.0
AtaKaptan,Ata Tan,25000.0
ANGE1,Kyrylo Karasov,22000.0
Zyppaan,Pontus Eek,22000.0
cned,Mehmet Yağız İpek,22000.0
Shao,Andrey Kiprsky,22000.0
SUYGETSU,Dmitry Ilyushin,22000.0
Carpe,"Lee, Jae-hyeok",18666.67
xeta,"Son, Seon-ho",18666.67
Munchkin,"Byeon, Sang-beom",18666.67
Sayaplayer,"Ha, Jung-woo",18666.67
ban,Joseph Seungmin Oh,18666.67
Benkai,Benedict Tan,15285.71
Foxy9,"Jung, Jae sung",10833.33
Estrella,"Gun, Park",10056.2
nukkye,Žygimantas Chmieliauskas,10000.0
Hoody,Aaro Peltokangas,10000.0
Cloud,Kirill Nehozhin,10000.0
rhyme,Emir Muminovic,10000.0
Fitinho,Adolfo Gallego,10000.0
yosemite,"Lei, Wang",10000.0
biank,"Zhong, Jianfei",10000.0
whz,"Wang, Haozhe",10000.0
rin,"Li, Lewei",10000.0
Knight,"Liu, Yuxiang",10000.0
antidote,Sabyasachi Bose,9933.33
Rawfiul,Akram Virani,9933.33
RvK,Rishi Vijayakumar,9933.33
azys,Azis Nandang,9933.33
Tesseract,Jm Ignacio,9933.33
Wailers,Wailers Locart,9730.54
logaN,Logan Corti,9730.54
TakaS,Jonathan Paupard,9730.54
beyAz,Beyazıt Körpe,9730.54
nataNk,Nathan Bocqueho,9730.54
valyn,Jacob Batio,8800.0
JonahP,Jonah Pulice,8800.0
neT,Michael Bernet,8800.0
tex,Ian Botsch,8800.0
trent,Trent Cairns,8800.0
BcJ,Brendan Jensen,8666.67
pancc,Fillipe Martins,8613.0
raafa,Rafael Lima,8613.0
ntk,Lucas Martins,8613.0
GuhRVN,Gustavo Ferreira,8613.0
Lakia,"Kim, Jong Min",8525.0
allow,"Park, Sang Wook",8525.0
