ID,Nick,Name,Total (year),Total (Game),% of Game,Total (Overall),% of Overall
1.,Ethan,Ethan Arnold,"$248,666.67","$288,266.67",86.26%,"$688,647.05",36.11%
2.,jawgemo,Alexander Mor,"$248,666.67","$258,906.67",96.04%,"$258,960.24",96.03%
3.,Boostio,Kelden Pupello,"$248,666.67","$253,136.67",98.23%,"$256,677.50",96.88%
4.,C0M,Corbin Lee,"$248,666.67","$252,366.67",98.53%,"$254,613.34",97.66%
5.,Demon1,Max Mazanov,"$246,666.67","$246,666.67",100.00%,"$246,715.92",99.98%
6.,Chronicle,Timofey Khromov,"$129,000.00","$238,571.66",54.07%,"$238,571.66",54.07%
7.,Derke,Nikita Sirmitev,"$129,000.00","$211,482.66",61.00%,"$225,446.18",57.22%
8.,Boaster,Jake Howlett,"$129,000.00","$214,422.02",60.16%,"$224,652.10",57.42%
9.,Alfajer,Emir Beder,"$129,000.00","$167,256.74",77.13%,"$167,256.74",77.13%
10.,Leo,Leo Jannesson,"$129,000.00","$158,501.92",81.39%,"$160,956.32",80.15%
11.,d4v41,Khalish Rusyaidee,"$120,285.71","$196,729.44",61.14%,"$207,920.95",57.85%
12.,f0rsakeN,Jason Susanto,"$120,285.71","$196,729.44",61.14%,"$200,042.99",60.13%
13.,mindfreak,Aaron Leonhart,"$120,285.71","$196,729.44",61.14%,"$199,558.42",60.28%
14.,Jinggg,"Wang, Jing Jie","$120,285.71","$190,316.93",63.20%,"$190,488.36",63.15%
15.,something,Ilya Petrov,"$94,893.71","$94,967.68",99.92%,"$94,967.68",99.92%
16.,saadhak,Matias Delipetro,"$89,000.00","$207,560.37",42.88%,"$217,360.37",40.95%
17.,aspas,Erick Santos,"$89,000.00","$184,219.29",48.31%,"$184,219.29",48.31%
18.,Less,Felipe Basso,"$89,000.00","$183,868.71",48.40%,"$183,868.71",48.40%
19.,cauanzin,Cauan Pereira,"$89,000.00","$98,770.48",90.11%,"$98,770.48",90.11%
20.,tuyz,Arthur Vieira,"$89,000.00","$93,960.29",94.72%,"$93,960.29",94.72%
21.,stax,"Kim, Gu-taek","$42,833.33","$135,232.02",31.67%,"$158,324.33",27.05%
22.,Rb,"Goo, Sang-min","$42,833.33","$140,378.62",30.51%,"$141,532.84",30.26%
23.,Zest,"Kim, Gi-Seok","$42,833.33","$120,673.12",35.50%,"$126,724.40",33.80%
24.,BuZz,"Yu, Byung-chul","$42,833.33","$111,561.50",38.39%,"$111,561.50",38.39%
25.,MaKo,"Kim, Myeong-kwan","$42,833.33","$107,355.94",39.90%,"$107,355.94",39.90%
26.,CigaretteS,Patiphan Posri,"$39,285.71","$39,385.71",99.75%,"$65,952.87",59.57%
27.,FNS,Pujan Mehta,"$39,000.00","$189,760.00",20.55%,"$315,763.90",12.35%
28.,Victor,Victor Wong,"$39,000.00","$191,650.00",20.35%,"$268,580.33",14.52%
29.,crashies,Austin Roberts,"$39,000.00","$192,650.00",20.24%,"$231,054.05",16.88%
